"campaignid","sample","sessile.invertebrates","macroalgae","NA","seagrasses","total.points.annotated","latitude","longitude","date.time","site","location","status","depth","successful.habitat.panoramic","observer.habitat.panoramic"
"2023-03_SwC_BOSS","60",1,37,37,0,75,-34.130085,114.82755,"19/03/2023 7:46","South-west Corner Marine Park","South-west Corner","No-take",51.9,"Yes","Molly Gerrans"
"2023-03_SwC_BOSS","62",7,49,2,4,62,-34.12390333,114.90797,"13/03/2023 9:46","South-west Corner Marine Park","South-west Corner","No-take",42.1,"Yes","Molly Gerrans"
"2023-03_SwC_BOSS","67",1,58,0,13,72,-34.12702667,114.9211683,"13/03/2023 9:29","South-west Corner Marine Park","South-west Corner","No-take",39.9,"Yes","Molly Gerrans"
"2023-03_SwC_BOSS","79",1,46,0,23,70,-34.124835,114.9113967,"13/03/2023 9:38","South-west Corner Marine Park","South-west Corner","No-take",40.2,"Yes","Molly Gerrans"
"2023-03_SwC_BOSS","90",0,31,49,0,80,-34.09033667,114.78764,"19/03/2023 9:29","South-west Corner Marine Park","South-west Corner","No-take",64.1,"Yes","Molly Gerrans"
"2023-03_SwC_BOSS","C001",8,44,2,9,63,-34.12193,114.834825,"19/03/2023 8:00","South-west Corner Marine Park","South-west Corner","No-take",48.1,"Yes","Molly Gerrans"
"2023-03_SwC_BOSS","C002",3,60,8,9,80,-34.10976667,114.8396517,"19/03/2023 8:13","South-west Corner Marine Park","South-west Corner","No-take",47.7,"Yes","Molly Gerrans"
"2023-03_SwC_BOSS","C003",0,28,22,4,54,-34.09513333,114.8330817,"19/03/2023 8:36","South-west Corner Marine Park","South-west Corner","No-take",47.1,"Yes","Molly Gerrans"
"2023-03_SwC_BOSS","C004",3,47,4,8,62,-34.09471,114.8219767,"19/03/2023 8:51","South-west Corner Marine Park","South-west Corner","No-take",50.4,"Yes","Molly Gerrans"
"2023-03_SwC_BOSS","C005",1,67,8,2,78,-34.0899,114.8081317,"19/03/2023 9:06","South-west Corner Marine Park","South-west Corner","No-take",52,"Yes","Molly Gerrans"
"2023-03_SwC_BOSS","C006",12,42,19,0,73,-34.09075,114.7993733,"19/03/2023 9:18","South-west Corner Marine Park","South-west Corner","No-take",54.7,"Yes","Molly Gerrans"
